"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 19:46:58 EEST 2024","Fri Jun 14 19:47:02 EEST 2024","3897","","tests.ProductsTest","","tests.ProductsTest","testProductLinkNavigation","testProductLinkNavigation()","Testing product link navigation"
"passed","Fri Jun 14 19:47:11 EEST 2024","Fri Jun 14 19:47:15 EEST 2024","4030","","tests.ProductsTest","","tests.ProductsTest","testBurgerMenuIconPresence","testBurgerMenuIconPresence()","Testing the presence of the burger menu icon"
"passed","Fri Jun 14 19:46:54 EEST 2024","Fri Jun 14 19:46:58 EEST 2024","3494","","tests.ProductsTest","","tests.ProductsTest","testFilterDropdown","testFilterDropdown()","Testing filter dropdown functionality"
"passed","Fri Jun 14 19:46:51 EEST 2024","Fri Jun 14 19:46:54 EEST 2024","3493","","tests.ProductItemTest","","tests.ProductItemTest","testProductItemLink","testProductItemLink()","Testing product item link"
"passed","Fri Jun 14 19:46:43 EEST 2024","Fri Jun 14 19:46:47 EEST 2024","4264","","tests.CartTest","","tests.CartTest","testAddToCartButton","testAddToCartButton()","Testing add to cart functionality"
"passed","Fri Jun 14 19:47:15 EEST 2024","Fri Jun 14 19:47:20 EEST 2024","5193","","tests.ProductsTest","","tests.ProductsTest","testFacebookIcon","testFacebookIcon()","Testing Facebook icon functionality"
"passed","Fri Jun 14 19:46:47 EEST 2024","Fri Jun 14 19:46:51 EEST 2024","3682","","tests.ProductItemTest","","tests.ProductItemTest","testProductTitleNavigationAndBack","testProductTitleNavigationAndBack()","Testing product title navigation"
"passed","Fri Jun 14 19:47:28 EEST 2024","Fri Jun 14 19:47:32 EEST 2024","3998","","tests.ProductsTest","","tests.ProductsTest","testAddToCartButton","testAddToCartButton()","Testing add to cart functionality"
"passed","Fri Jun 14 19:47:36 EEST 2024","Fri Jun 14 19:47:40 EEST 2024","4024","","tests.ProductsTest","","tests.ProductsTest","testHoverOverProductTitle","testHoverOverProductTitle()","Testing product name hover"
"passed","Fri Jun 14 19:47:20 EEST 2024","Fri Jun 14 19:47:24 EEST 2024","3731","","tests.ProductsTest","","tests.ProductsTest","testCartIconNavigation","testCartIconNavigation()","Testing cart icon navigation"
"passed","Fri Jun 14 19:52:20 EEST 2024","Fri Jun 14 19:52:27 EEST 2024","6933","","tests.AuthenticationTest","","tests.AuthenticationTest","testValidLogin","testValidLogin()",""
"passed","Fri Jun 14 19:47:07 EEST 2024","Fri Jun 14 19:47:11 EEST 2024","4578","","tests.ProductsTest","","tests.ProductsTest","testAddProductToCart","testAddProductToCart()","Testing add product to cart functionality"
"passed","Fri Jun 14 19:46:31 EEST 2024","Fri Jun 14 19:46:35 EEST 2024","4153","","tests.CartTest","","tests.CartTest","testAddToCartAndCheckCart","testAddToCartAndCheckCart()","Testing add to cart functionality"
"passed","Fri Jun 14 19:46:39 EEST 2024","Fri Jun 14 19:46:43 EEST 2024","4097","","tests.CartTest","","tests.CartTest","testCartIconNavigation","testCartIconNavigation()","Testing cart icon navigation"
"passed","Fri Jun 14 19:47:32 EEST 2024","Fri Jun 14 19:47:36 EEST 2024","3955","","tests.ProductsTest","","tests.ProductsTest","testProductCount","testProductCount()","Testing product count"
"passed","Fri Jun 14 19:47:02 EEST 2024","Fri Jun 14 19:47:07 EEST 2024","4931","","tests.ProductsTest","","tests.ProductsTest","testBadgeShouldThrowNoSuchElementExceptionWhenCartEmpty","testBadgeShouldThrowNoSuchElementExceptionWhenCartEmpty()","Testing badge functionality"
"passed","Fri Jun 14 19:47:24 EEST 2024","Fri Jun 14 19:47:28 EEST 2024","4055","","tests.ProductsTest","","tests.ProductsTest","testProductLinkImageNavigation","testProductLinkImageNavigation()","Testing product link image navigation"
"passed","Fri Jun 14 19:52:27 EEST 2024","Fri Jun 14 19:52:31 EEST 2024","3625","","tests.AuthenticationTest","","tests.AuthenticationTest","testValidProductPageUrl","testValidProductPageUrl()",""
"passed","Fri Jun 14 19:46:35 EEST 2024","Fri Jun 14 19:46:39 EEST 2024","3557","","tests.CartTest","","tests.CartTest","testBadgeShouldThrowNoSuchElementExceptionWhenCartEmpty","testBadgeShouldThrowNoSuchElementExceptionWhenCartEmpty()","Testing cart badge behavior"
"passed","Fri Jun 14 19:52:31 EEST 2024","Fri Jun 14 19:52:34 EEST 2024","3031","","tests.AuthenticationTest","","tests.AuthenticationTest","testInvalidLogin","testInvalidLogin()",""
